id,created_at,name,is_main_tech
1,2024-11-13 04:14:46+00,React,true
2,2024-11-13 04:14:59+00,Next.js,true
3,2024-11-13 04:15:31+00,TailwindCSS,true
4,2024-11-13 04:15:46+00,Angular,
5,2024-11-13 04:16:00+00,HTML,
6,2024-11-13 04:16:28+00,CSS,
7,2024-11-13 04:16:44+00,JavaScript,false
8,2024-11-13 04:16:59+00,TypeScript,true
9,2024-11-13 04:17:13+00,React Native,true
10,2024-11-13 04:17:32+00,Redux,
11,2024-11-13 14:37:56+00,Material UI,
12,2024-11-28 22:12:56+00,Motion,
13,2025-11-29 01:07:47+00,Zustand,true
14,2025-11-29 01:08:02+00,Storybook,true
15,2026-01-26 10:04:14+00,Figma,false
16,2026-03-31 07:53:03.147435+00,Micro-frontend,
17,2026-08-09 03:30:20.279676+00,C# & .NET,true
